gene p.value alpha alpha_low alpha_high p.adj
4CL 0.0013470392818179626 101.86316214493355 1.0286170041594236 106.35769431275081 0.6945827860134576
DHRS 0.020845023661811856 104.46278868219224 1.8922344376248228 106.36714526173716 0.8487497109982873
LMF 0.07076348675798293 104.49015925404476 2.431740236485762 106.38507179434406 0.8487497109982873
LYS1 0.3538193055173089 104.59511884795874 2.7065225942560964 106.36798696184613 0.8487497109982873
PPA1328 0.031239764601021378 104.83774058013344 2.1807406462458174 106.33702057374677 0.8487497109982873
accA1 0.1361379444621815 104.06789556546308 2.1186638969465803 106.38016960554154 0.8487497109982873
accD1 0.031239764601021378 103.00818773230168 1.5097434428740126 106.36858345631168 0.8487497109982873
aceA 0.7005795110029918 20.4781479622766 0.03600091127751409 106.38133362837142 0.8487497109982873
aceB 0.46113296069839804 104.90032555102653 3.3868426058403336 106.359695586498 0.8487497109982873
aceE 0.2810327053538928 104.50757663237432 1.8065854756879758 106.35035928760593 0.8487497109982873
ackA 0.9008874288704287 103.36585291009524 0.2608869869953162 106.37893028164049 0.9328308595221876
acnA 0.8387548561073113 50.494358588816645 3.2280115414895354 106.37917812882785 0.8855258497494172
acpS 0.8525466216519733 1.2711915351957916 0.036929862002926146 106.30723274720245 0.8957803804582865
actP 0.8510849625463699 102.92925552118099 3.0582236900089006 106.33057192803868 0.8944177173909533
acx 0.031239764601021378 96.98199615509236 1.2278627405312754 106.35936586990282 0.8487497109982873
ada 0.23791273522787712 105.65948170198392 1.1942032646715013 106.36122583728749 0.8487497109982873
add 0.01327024470349439 104.50630432726254 0.03651816978714803 106.35607733439838 0.8487497109982873
adhA 0.11348270749539612 105.4125366224969 0.036181604603910046 106.35233310485327 0.8487497109982873
adhE 0.7103280230397642 15.273644591792685 0.038059125213094305 106.35769705876572 0.8487497109982873
agcS_1 0.0014465362060435462 52.732964754719184 1.1915865812747555 106.35579971748052 0.6945827860134576
aglA 0.10497811850854508 50.80865403919707 1.8824560485625679 106.3548012093216 0.8487497109982873
aguA 0.6571502910504903 102.0066840201182 2.277157535259281 106.27642167844999 0.8487497109982873
ahcY 0.04505591505704525 101.01201665227342 3.784674247615661 106.3836054204827 0.8487497109982873
aidB 0.41822204824841663 101.77837085080192 2.338874348894841 106.33924377129097 0.8487497109982873
alcA 0.929122377330323 3.1581565052191065 0.03594608722073478 106.35979229129714 0.9525302419477651
alcC 0.929122377330323 7.32132830589509 0.03746899073886107 106.31209096292119 0.9525302419477651
ald 0.7113463039359409 102.91830973091591 0.3452670779951692 106.3773852614727 0.8487497109982873
aldA 0.4433099232425549 104.67344392619106 1.9920982972353007 106.3516732783669 0.8487497109982873
aldC 8.459477426212645e-4 101.88181500107967 1.8761993881775354 106.3833843718955 0.6945827860134576
alkA 0.7142114347873159 104.77498543417258 2.215365342379582 106.39562828887301 0.8487497109982873
allB 0.7958399765830348 105.39483011771121 3.1840170725053905 106.3559538926583 0.8511904862340666
alr 0.6561271698785125 34.85957622271371 2.005631115927073 106.38666400723618 0.8487497109982873
amaB 0.2203031388187262 104.85432286066498 2.834937857175925 106.36692602597952 0.8487497109982873
amt 0.04446142764096693 104.7848706238228 3.6806514403399158 106.33703116416174 0.8487497109982873
ansA 0.29849490790000643 69.95007668787902 0.03637249824925032 106.36940706053939 0.8487497109982873
apeB 0.031239764601021378 81.8248440905721 1.8967030415692276 106.37040685670098 0.8487497109982873
appCC 0.020845023661811856 103.92596752351764 1.0462354403718939 106.34416185313296 0.8487497109982873
apt 0.6992570472050337 0.47604633918631656 0.03618552994860583 106.0872725771101 0.8487497109982873
aqpZ 0.0892817927021101 104.8742161970564 3.248744219759578 106.38330229949653 0.8487497109982873
araA 0.4165605591414486 103.33570492977464 2.8735928306498026 106.37092179235526 0.8487497109982873
araB 0.3650907798978369 104.34106343242708 0.1809843902407687 106.37229878706708 0.8487497109982873
araD 0.3750931546141134 105.44614457892595 0.8465360164153035 106.38722252759035 0.8487497109982873
argA 0.028849072438549058 103.15587576722189 0.03757037850384699 106.35419636241338 0.8487497109982873
argB 0.8367177701820978 1.5459543632487407 0.03620612696554789 106.3509104109626 0.8850078539413054
argC 0.8367177701820978 0.511938528236006 0.03722851552378861 106.3039497149588 0.8850078539413054
argD 0.2606727546384182 9.388041231089224 0.03599750019733549 106.33188162078443 0.8487497109982873
argE 0.5338094088531764 104.47730808894549 0.5290523275653983 106.36653768293468 0.8487497109982873
argF 0.9747690850684648 105.61841009917563 11.380455204190838 106.37102944545177 0.9823696237434626
argJ 0.529833069941642 0.7256742347877798 0.036310493507134806 106.24346299422388 0.8487497109982873
aroA 0.08108723642334344 103.43901665500965 1.8606904576435932 106.37382862165255 0.8487497109982873
aroE 0.08756250718960842 105.57448127110777 4.049733756249178 106.37516060206143 0.8487497109982873
aroG 0.08368064933562444 105.12832521066878 2.7842410611752517 106.38456694056305 0.8487497109982873
aroK 0.8589847416786351 0.6669977012158722 0.03660350984648385 106.35023092228862 0.9003666094231455
aroQ 0.9515056831817011 105.54744342022971 5.9568479779738315 106.37502177619444 0.964202577698947
ask 0.031239764601021378 103.85461149462293 1.8328668115931028 106.37565225853096 0.8487497109982873
aspA 0.3301681521145009 105.24743628607484 2.3662686052930706 106.37815388936787 0.8487497109982873
aspC 0.027446697319596827 56.88010764930557 1.1636574428715574 106.37371237074035 0.8487497109982873
atpF 0.20987269124110106 105.32717749616842 7.8509900616740165 106.36416205861002 0.8487497109982873
atsD 0.031239764601021378 105.07782559082939 2.1966276488930108 106.39153243431764 0.8487497109982873
atzB 0.020228563955057205 104.69779802741598 2.443223987406207 106.35015656902219 0.8487497109982873
bccA 0.031239764601021378 93.54452381849453 1.8297518088689886 106.36128798935577 0.8487497109982873
bcp 0.010999009619166654 105.482986671156 2.08558552978369 106.3814658184159 0.8487497109982873
bdhA 0.6034758558249076 17.548447344819344 0.03644892312291352 106.35110709917615 0.8487497109982873
benE 0.14069755352484228 104.8056596272898 1.942409743175818 106.34090997370267 0.8487497109982873
betB 0.9878509443894542 104.087562281891 2.39762403414944 106.37450028916837 0.9926050627705972
bfmM 0.02334922337428244 104.52626807184427 1.0749264964664103 106.37250229312366 0.8487497109982873
bgl2 0.020845023661811856 102.14137994510804 1.1462521763238067 106.3486189257208 0.8487497109982873
bglB 0.050873415189766125 103.32139216515105 2.953904227967031 106.33106447413678 0.8487497109982873
bglK 0.009718205720435528 103.55899932392812 1.4476060312607073 106.35385841974801 0.8487497109982873
bglS 0.489479757498385 104.52620373723715 3.8981452973860664 106.39032998229314 0.8487497109982873
bglX 0.020520349125461388 104.80003455690054 0.04288709497362515 106.36379549205326 0.8487497109982873
bpr 0.5083966205630286 103.88401301719439 3.9865703364441503 106.37840563448222 0.8487497109982873
cah 0.2727890203541999 104.66838285127236 3.078030551338144 106.3827240755943 0.8487497109982873
carD 0.004414367554897812 104.9263913761894 0.03583700755096482 106.37282638930816 0.8487497109982873
catR 0.031239764601021378 103.01438053158189 1.2373898204836844 106.34496584687187 0.8487497109982873
cbbL 0.1713304284538967 105.06583830073545 3.0877681713617786 106.35661735689177 0.8487497109982873
cbiO 0.8900481446310172 13.930328907288665 0.1804996248754571 106.21379386701614 0.9279098047108656
