community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane121s003964_megahit	lane122s000521_bin.2.p	M_pi_e	0.5	0.93	1	0.465
all	minimal	lane121s003964_megahit	lane122s000521_bin.2.p	M_s_e	0.5	0.06	1	0.03
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_acald_e	1.0	0.11	1	0.11
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_fe3_e	1.0	1.0	1	1.0
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_glc__D_e	1.0	0.03	1	0.03
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_glyc_e	1.0	0.66	1	0.66
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_h2o_e	1.0	0.1	1	0.1
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_h2s_e	1.0	0.05	1	0.05
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_h_e	1.0	0.17	1	0.17
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_lac__L_e	1.0	0.02	1	0.02
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_nh4_e	1.0	0.27	1	0.27
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_pi_e	1.0	0.93	1	0.93
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_s_e	1.0	0.06	1	0.06
all	minimal	lane121s003964_megahit	lane122s000524_shovill	M_thm_e	1.0	1.0	1	1.0
all	minimal	lane121s003995_shovill	lane121s003952_megahit	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane121s003952_megahit	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane121s003952_megahit	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane121s003952_megahit	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane121s003953_shovill	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane121s003953_shovill	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane121s003953_shovill	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane121s003953_shovill	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane121s003953_shovill	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane121s003954_shovill	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane121s003954_shovill	M_cgly_e	0.06060606060606061	0.07	1	0.004242424242424243
