community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_acald_e	0.09	0.28	1	0.0252
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_etha_e	0.09	0.05	1	0.0045
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_fe3_e	0.09	0.08	1	0.0072
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_glc__D_e	0.09	0.05	1	0.0045
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_glyc_e	0.09	0.83	1	0.07469999999999999
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_h2o_e	0.09	0.01	1	0.0009
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_h2s_e	0.09	0.22	1	0.019799999999999998
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_h_e	0.09	0.03	1	0.0026999999999999997
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_nh4_e	0.09	0.62	1	0.055799999999999995
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_rib__D_e	0.09	0.11	1	0.009899999999999999
all	minimal	lane121s003976_shovill	lane121s003978_shovill	M_s_e	0.09	0.77	1	0.0693
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_acald_e	0.09	0.28	1	0.0252
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_etha_e	0.09	0.05	1	0.0045
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_fe3_e	0.09	0.08	1	0.0072
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_fum_e	0.09	0.01	1	0.0009
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_glc__D_e	0.09	0.05	1	0.0045
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_glyc_e	0.09	0.83	1	0.07469999999999999
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_h2o_e	0.09	0.01	1	0.0009
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_h2s_e	0.09	0.22	1	0.019799999999999998
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_h_e	0.09	0.03	1	0.0026999999999999997
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_nh4_e	0.09	0.62	1	0.055799999999999995
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_pi_e	0.09	0.96	1	0.08639999999999999
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_rib__D_e	0.09	0.11	1	0.009899999999999999
all	minimal	lane121s003976_shovill	lane121s003979_bin.1.s	M_s_e	0.09	0.77	1	0.0693
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_acald_e	0.08	0.28	1	0.022400000000000003
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_ala__D_e	0.08	0.06	1	0.0048
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_fe3_e	0.08	0.08	1	0.0064
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_for_e	0.08	0.03	1	0.0024
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_glc__D_e	0.08	0.05	1	0.004
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_glyc_e	0.08	0.83	1	0.0664
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_h2o_e	0.08	0.01	1	0.0008
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_h2s_e	0.08	0.22	1	0.0176
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_h_e	0.08	0.03	1	0.0024
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_nh4_e	0.08	0.62	1	0.0496
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_oxa_e	0.08	0.01	1	0.0008
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_rib__D_e	0.08	0.11	1	0.0088
all	minimal	lane121s003976_shovill	lane121s003996_shovill	M_s_e	0.08	0.77	1	0.0616
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_acald_e	0.14	0.28	1	0.039200000000000006
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_ala__D_e	0.14	0.06	1	0.008400000000000001
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_fe3_e	0.14	0.08	1	0.011200000000000002
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_glc__D_e	0.14	0.05	1	0.007000000000000001
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_glyc_e	0.14	0.83	1	0.11620000000000001
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_h2o_e	0.14	0.01	1	0.0014000000000000002
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_h2s_e	0.14	0.22	1	0.030800000000000004
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_h_e	0.14	0.03	1	0.004200000000000001
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_nh4_e	0.14	0.62	1	0.0868
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_rib__D_e	0.14	0.11	1	0.015400000000000002
all	minimal	lane121s003976_shovill	lane122s000517_bin.1.p	M_s_e	0.14	0.77	1	0.1078
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_acald_e	0.16	0.28	1	0.044800000000000006
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_ala__D_e	0.16	0.06	1	0.0096
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_fe3_e	0.16	0.08	1	0.0128
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_glyc_e	0.16	0.83	1	0.1328
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_h2o_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_h2s_e	0.16	0.22	1	0.0352
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_h_e	0.16	0.03	1	0.0048
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_nh4_e	0.16	0.62	1	0.0992
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_oxa_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_pi_e	0.16	0.96	1	0.1536
all	minimal	lane121s003976_shovill	lane122s000517_bin.2.s	M_rib__D_e	0.16	0.11	1	0.0176
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_acald_e	0.15	0.28	1	0.042
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_etha_e	0.15	0.05	1	0.0075
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_fe3_e	0.15	0.08	1	0.012
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_for_e	0.15	0.03	1	0.0045
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_glyc_e	0.15	0.83	1	0.12449999999999999
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_h2o_e	0.15	0.01	1	0.0015
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_h2s_e	0.15	0.22	1	0.033
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_h_e	0.15	0.03	1	0.0045
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_nh4_e	0.15	0.62	1	0.093
all	minimal	lane121s003976_shovill	lane122s000531_bin.1.o	M_oxa_e	0.15	0.01	1	0.0015
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_acald_e	0.16	0.28	1	0.044800000000000006
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_etha_e	0.16	0.05	1	0.008
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_fe3_e	0.16	0.08	1	0.0128
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_fum_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_glyc_e	0.16	0.83	1	0.1328
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_h2o_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_h2s_e	0.16	0.22	1	0.0352
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_h_e	0.16	0.03	1	0.0048
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_nh4_e	0.16	0.62	1	0.0992
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_rib__D_e	0.16	0.11	1	0.0176
all	minimal	lane121s003976_shovill	lane122s000536_megahit	M_s_e	0.16	0.77	1	0.1232
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_4abut_e	0.16	0.22	1	0.0352
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_acald_e	0.16	0.28	1	0.044800000000000006
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_ala__D_e	0.16	0.06	1	0.0096
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_etha_e	0.16	0.05	1	0.008
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_fe3_e	0.16	0.08	1	0.0128
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_for_e	0.16	0.03	1	0.0048
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_fum_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_glyc3p_e	0.16	0.04	1	0.0064
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_glyc_e	0.16	0.83	1	0.1328
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_h2o_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_h2s_e	0.16	0.22	1	0.0352
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_h_e	0.16	0.03	1	0.0048
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_hxan_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_nh4_e	0.16	0.62	1	0.0992
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_oxa_e	0.16	0.01	1	0.0016
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_pi_e	0.16	0.96	1	0.1536
all	minimal	lane121s003976_shovill	lane122s000601_bin.10.s	M_s_e	0.16	0.77	1	0.1232
