community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane122s000605_bin.1.o	lane122s000522_shovill	M_etoh_e	0.25	0.25	1	0.0625
all	minimal	lane122s000605_bin.1.o	lane122s000522_shovill	M_fe3_e	0.25	0.11	1	0.0275
all	minimal	lane122s000605_bin.1.o	lane122s000522_shovill	M_glyc_e	0.25	0.02	1	0.005
all	minimal	lane122s000605_bin.1.o	lane122s000522_shovill	M_lys__L_e	0.25	1.0	1	0.25
all	minimal	lane122s000605_bin.1.o	lane122s000523_bin.1.p	M_etoh_e	0.25	0.25	1	0.0625
all	minimal	lane122s000605_bin.1.o	lane122s000523_bin.1.p	M_fe3_e	0.25	0.11	1	0.0275
all	minimal	lane122s000605_bin.1.o	lane122s000523_bin.1.p	M_glyc_e	0.25	0.02	1	0.005
all	minimal	lane122s000605_bin.1.o	lane122s000523_bin.1.p	M_lys__L_e	0.25	1.0	1	0.25
all	minimal	lane122s000605_bin.1.o	lane122s000605_bin.3.p	M_etoh_e	0.25	0.25	1	0.0625
all	minimal	lane122s000605_bin.1.o	lane122s000605_bin.3.p	M_fe3_e	0.25	0.11	1	0.0275
all	minimal	lane122s000605_bin.1.o	lane122s000605_bin.3.p	M_glyc_e	0.25	0.02	1	0.005
all	minimal	lane122s000605_bin.1.o	lane122s000605_bin.3.p	M_lys__L_e	0.25	1.0	1	0.25
all	minimal	lane122s000605_bin.1.o	lane821s003044_shovill	M_etoh_e	0.25	0.25	1	0.0625
all	minimal	lane122s000605_bin.1.o	lane821s003044_shovill	M_fe3_e	0.25	0.11	1	0.0275
all	minimal	lane122s000605_bin.1.o	lane821s003044_shovill	M_glyc_e	0.25	0.02	1	0.005
all	minimal	lane122s000605_bin.1.o	lane821s003044_shovill	M_lys__L_e	0.25	1.0	1	0.25
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_acald_e	1.0	0.01	1	0.01
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_etoh_e	1.0	0.04	1	0.04
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_fe3_e	1.0	1.0	1	1.0
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_for_e	1.0	0.08	1	0.08
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_glu__L_e	1.0	0.99	1	0.99
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_h2s_e	1.0	0.15	1	0.15
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_h_e	1.0	0.13	1	0.13
all	minimal	lane122s000605_bin.3.p	lane122s000522_shovill	M_s_e	1.0	0.74	1	0.74
