model	metabolite
lane121s003952_megahit	glc__D
lane121s003952_megahit	glcman4
lane121s003952_megahit	glcman6
lane121s003952_megahit	glcn__D
lane121s003952_megahit	glcur
lane121s003952_megahit	gln__L
lane121s003952_megahit	glu__L
lane121s003952_megahit	glucan4
lane121s003952_megahit	glucan6
lane121s003952_megahit	gly_asn__L
lane121s003952_megahit	gly_asp__L
lane121s003952_megahit	gly
lane121s003952_megahit	gly_glu__L
lane121s003952_megahit	gly_pro__L
lane121s003952_megahit	glyb
lane121s003952_megahit	glyc3p
lane121s003952_megahit	glyc
lane121s003952_megahit	glyclt
lane121s003952_megahit	gthox
lane121s003952_megahit	gthrd
lane121s003952_megahit	gua
lane121s003952_megahit	h2
lane121s003952_megahit	h2o2
lane121s003952_megahit	h2o
lane121s003952_megahit	h2s
lane121s003952_megahit	h
lane121s003952_megahit	ham
lane121s003952_megahit	hco3
lane121s003952_megahit	hexs
lane121s003952_megahit	his__L
lane121s003952_megahit	hqn
lane121s003952_megahit	hxa
lane121s003952_megahit	hxan
lane121s003952_megahit	ile__L
lane121s003952_megahit	inost
lane121s003952_megahit	isetac
lane121s003952_megahit	istnt
lane121s003952_megahit	k
lane121s003952_megahit	lac__D
lane121s003952_megahit	lac__L
lane121s003952_megahit	lcts
lane121s003952_megahit	leu__L
lane121s003952_megahit	lipoate
lane121s003952_megahit	lmn2
lane121s003952_megahit	lys__L
lane121s003952_megahit	madg
lane121s003952_megahit	mal__L
lane121s003952_megahit	malt
lane121s003952_megahit	man
lane121s003952_megahit	mbdg
lane121s003952_megahit	melib
lane121s003952_megahit	meoh
lane121s003952_megahit	met_L_ala__L
lane121s003952_megahit	met__D
lane121s003952_megahit	met__L
lane121s003952_megahit	metox__R
lane121s003952_megahit	metox
lane121s003952_megahit	mg2
lane121s003952_megahit	mn2
lane121s003952_megahit	mnl
lane121s003952_megahit	mobd
lane121s003952_megahit	mso3
lane121s003952_megahit	n2
lane121s003952_megahit	n2o
lane121s003952_megahit	ncam
lane121s003952_megahit	nh4
lane121s003952_megahit	no2
lane121s003952_megahit	no3
lane121s003952_megahit	no
lane121s003952_megahit	o2
lane121s003952_megahit	octa
lane121s003952_megahit	orn__L
lane121s003952_megahit	orn
lane121s003952_megahit	oxa
lane121s003952_megahit	pi
lane121s003952_megahit	pime
lane121s003952_megahit	pnto__R
lane121s003952_megahit	ppa
lane121s003952_megahit	pro__L
lane121s003952_megahit	progly
lane121s003952_megahit	ptrc
lane121s003952_megahit	pyovd_kt
lane121s003952_megahit	pyr
lane121s003952_megahit	rib__D
lane121s003952_megahit	ribflv
lane121s003952_megahit	rmn
lane121s003952_megahit	s
lane121s003952_megahit	salchs4
lane121s003952_megahit	salcn
lane121s003952_megahit	ser__D
lane121s003952_megahit	ser__L
lane121s003952_megahit	so3
lane121s003952_megahit	so4
lane121s003952_megahit	spmd
lane121s003952_megahit	succ
lane121s003952_megahit	sucr
lane121s003952_megahit	sula
lane121s003952_megahit	sulfac
lane121s003952_megahit	taur
lane121s003952_megahit	thm
lane121s003952_megahit	thr__L
lane121s003952_megahit	tre
lane121s003952_megahit	tsul
lane121s003952_megahit	udcpdp
lane121s003952_megahit	udcpp
lane121s003952_megahit	ura
lane121s003952_megahit	urate
lane121s003952_megahit	uri
lane121s003952_megahit	xan
lane121s003952_megahit	xyl3
lane121s003952_megahit	xyl__D
lane121s003952_megahit	xylan4
lane121s003952_megahit	xylb
lane121s003952_megahit	zn2
lane121s003953_shovill	3amp
lane121s003953_shovill	LalaDgluMdap
lane121s003953_shovill	acgam
lane121s003953_shovill	akg
lane121s003953_shovill	arg__L
lane121s003953_shovill	ca2
lane121s003953_shovill	cellb
lane121s003953_shovill	cl
lane121s003953_shovill	cobalt2
lane121s003953_shovill	cu2
lane121s003953_shovill	cytd
lane121s003953_shovill	drib
lane121s003953_shovill	feenter
lane121s003953_shovill	fol
lane121s003953_shovill	fru
lane121s003953_shovill	gam
lane121s003953_shovill	glc__D
lane121s003953_shovill	glcur
lane121s003953_shovill	glu__L
lane121s003953_shovill	gly_asn__L
lane121s003953_shovill	gly
lane121s003953_shovill	glyc3p
lane121s003953_shovill	glyc
lane121s003953_shovill	gthrd
lane121s003953_shovill	gua
lane121s003953_shovill	h2o2
lane121s003953_shovill	h2o
lane121s003953_shovill	h
lane121s003953_shovill	his__L
lane121s003953_shovill	ile__L
lane121s003953_shovill	k
lane121s003953_shovill	lcts
lane121s003953_shovill	lys__L
lane121s003953_shovill	mal__L
lane121s003953_shovill	malt
lane121s003953_shovill	malthx
lane121s003953_shovill	man
lane121s003953_shovill	mg2
lane121s003953_shovill	mn2
lane121s003953_shovill	no3
lane121s003953_shovill	o2
lane121s003953_shovill	pnto__R
lane121s003953_shovill	pro__L
lane121s003953_shovill	rib__D
lane121s003953_shovill	ribflv
lane121s003953_shovill	s
lane121s003953_shovill	skm
lane121s003953_shovill	so4
lane121s003953_shovill	sucr
lane121s003953_shovill	thr__L
lane121s003953_shovill	trp__L
lane121s003953_shovill	tyr__L
lane121s003953_shovill	udcpp
