model	metabolite
lane121s003972_shovill	ca2
lane121s003972_shovill	cell6
lane121s003972_shovill	cl
lane121s003972_shovill	cobalt2
lane121s003972_shovill	k
lane121s003972_shovill	malthp
lane121s003972_shovill	mg2
lane121s003972_shovill	mn2
lane121s003972_shovill	no3
lane121s003972_shovill	o2
lane121s003972_shovill	zn2
lane121s003976_shovill	14glucan
lane121s003976_shovill	ca2
lane121s003976_shovill	cl
lane121s003976_shovill	cobalt2
lane121s003976_shovill	k
lane121s003976_shovill	malthx
lane121s003976_shovill	malttr
lane121s003976_shovill	maltttr
lane121s003976_shovill	mg2
lane121s003976_shovill	mn2
lane121s003976_shovill	o2
lane121s003976_shovill	zn2
lane121s003977_shovill	14glucan
lane121s003977_shovill	ca2
lane121s003977_shovill	cl
lane121s003977_shovill	cobalt2
lane121s003977_shovill	k
lane121s003977_shovill	malthx
lane121s003977_shovill	malttr
lane121s003977_shovill	maltttr
lane121s003977_shovill	mg2
lane121s003977_shovill	mn2
lane121s003977_shovill	o2
lane121s003977_shovill	zn2
lane121s003978_shovill	14glucan
lane121s003978_shovill	ca2
lane121s003978_shovill	cl
lane121s003978_shovill	cobalt2
lane121s003978_shovill	fe2
lane121s003978_shovill	glucan4
lane121s003978_shovill	glucan6
lane121s003978_shovill	k
lane121s003978_shovill	mg2
lane121s003978_shovill	mn2
lane121s003978_shovill	zn2
lane121s003979_bin.1.s	14glucan
lane121s003979_bin.1.s	ca2
lane121s003979_bin.1.s	cl
lane121s003979_bin.1.s	cobalt2
lane121s003979_bin.1.s	glucan4
lane121s003979_bin.1.s	glucan6
lane121s003979_bin.1.s	k
lane121s003979_bin.1.s	mg2
lane121s003979_bin.1.s	mn2
lane121s003979_bin.1.s	zn2
lane121s003980_megahit	14glucan
lane121s003980_megahit	ca2
lane121s003980_megahit	cell6
lane121s003980_megahit	cl
lane121s003980_megahit	cobalt2
lane121s003980_megahit	glucan4
lane121s003980_megahit	glucan6
lane121s003980_megahit	k
lane121s003980_megahit	mg2
lane121s003980_megahit	mn2
lane121s003980_megahit	zn2
lane121s003984_bin.1.p	3amp
lane121s003984_bin.1.p	ca2
lane121s003984_bin.1.p	cl
lane121s003984_bin.1.p	cobalt2
lane121s003984_bin.1.p	glucan4
lane121s003984_bin.1.p	glucan6
lane121s003984_bin.1.p	k
lane121s003984_bin.1.p	malthx
lane121s003984_bin.1.p	maltpt
lane121s003984_bin.1.p	manttr
lane121s003984_bin.1.p	mg2
lane121s003984_bin.1.p	mn2
lane121s003984_bin.1.p	ribflv
lane121s003984_bin.1.p	zn2
lane121s003986_megahit	ca2
lane121s003986_megahit	cl
lane121s003986_megahit	cobalt2
lane121s003986_megahit	glucan4
lane121s003986_megahit	glucan6
lane121s003986_megahit	k
lane121s003986_megahit	malthx
lane121s003986_megahit	malttr
lane121s003986_megahit	manttr
lane121s003986_megahit	mg2
lane121s003986_megahit	mn2
lane121s003986_megahit	raffin
lane121s003986_megahit	ribflv
lane121s003986_megahit	zn2
lane121s003995_shovill	25dkglcn
lane121s003995_shovill	3amp
lane121s003995_shovill	ca2
lane121s003995_shovill	cl
lane121s003995_shovill	cobalt2
lane121s003995_shovill	dha
lane121s003995_shovill	fru
lane121s003995_shovill	glcur
lane121s003995_shovill	k
lane121s003995_shovill	mg2
lane121s003995_shovill	mn2
lane121s003995_shovill	o2
lane121s003995_shovill	raffin
lane121s003995_shovill	thm
lane121s003995_shovill	thr__L
lane121s003995_shovill	zn2
lane121s003996_shovill	ca2
lane121s003996_shovill	cell6
lane121s003996_shovill	cellb
lane121s003996_shovill	cl
lane121s003996_shovill	cobalt2
lane121s003996_shovill	k
lane121s003996_shovill	malt
lane121s003996_shovill	mg2
lane121s003996_shovill	mn2
lane121s003996_shovill	o2
lane121s003996_shovill	sucr
lane121s003996_shovill	tre
lane121s003996_shovill	zn2
lane122s000515_shovill	ca2
lane122s000515_shovill	cell6
lane122s000515_shovill	cl
lane122s000515_shovill	cobalt2
lane122s000515_shovill	fe2
lane122s000515_shovill	k
lane122s000515_shovill	mg2
lane122s000515_shovill	mn2
lane122s000515_shovill	o2
lane122s000515_shovill	raffin
lane122s000515_shovill	udcpp
lane122s000515_shovill	zn2
lane122s000516_shovill	ca2
lane122s000516_shovill	cl
lane122s000516_shovill	cobalt2
lane122s000516_shovill	fe2
lane122s000516_shovill	fru
lane122s000516_shovill	k
lane122s000516_shovill	mg2
lane122s000516_shovill	mn2
lane122s000516_shovill	o2
lane122s000516_shovill	s
lane122s000516_shovill	so3
lane122s000516_shovill	tsul
lane122s000516_shovill	zn2
lane122s000517_bin.1.p	ca2
lane122s000517_bin.1.p	cell6
lane122s000517_bin.1.p	cellb
lane122s000517_bin.1.p	cl
lane122s000517_bin.1.p	cobalt2
lane122s000517_bin.1.p	fe2
lane122s000517_bin.1.p	k
lane122s000517_bin.1.p	malt
lane122s000517_bin.1.p	mg2
lane122s000517_bin.1.p	mn2
lane122s000517_bin.1.p	o2
lane122s000517_bin.1.p	raffin
lane122s000517_bin.1.p	sucr
lane122s000517_bin.1.p	tre
lane122s000517_bin.1.p	zn2
lane122s000517_bin.2.s	ca2
lane122s000517_bin.2.s	cl
lane122s000517_bin.2.s	cobalt2
lane122s000517_bin.2.s	cu2
lane122s000517_bin.2.s	galman6
lane122s000517_bin.2.s	glcman4
lane122s000517_bin.2.s	glcman6
lane122s000517_bin.2.s	k
lane122s000517_bin.2.s	malthx
lane122s000517_bin.2.s	malttr
lane122s000517_bin.2.s	maltttr
lane122s000517_bin.2.s	mg2
lane122s000517_bin.2.s	mn2
lane122s000517_bin.2.s	o2
lane122s000517_bin.2.s	thr__L
lane122s000517_bin.2.s	zn2
lane122s000518_bin.1.p	ca2
lane122s000518_bin.1.p	cl
lane122s000518_bin.1.p	cobalt2
lane122s000518_bin.1.p	glcman6
lane122s000518_bin.1.p	gln__L
lane122s000518_bin.1.p	glucan6
lane122s000518_bin.1.p	k
lane122s000518_bin.1.p	malthx
lane122s000518_bin.1.p	mg2
lane122s000518_bin.1.p	mn2
lane122s000518_bin.1.p	nmn
lane122s000518_bin.1.p	o2
lane122s000518_bin.1.p	so4
lane122s000518_bin.1.p	thm
lane122s000518_bin.1.p	xylan8
lane122s000518_bin.1.p	zn2
lane122s000519_bin.1.s	14glucan
lane122s000519_bin.1.s	ca2
lane122s000519_bin.1.s	cellb
lane122s000519_bin.1.s	cl
lane122s000519_bin.1.s	cobalt2
lane122s000519_bin.1.s	cu2
lane122s000519_bin.1.s	dextrin
lane122s000519_bin.1.s	fe2
lane122s000519_bin.1.s	k
lane122s000519_bin.1.s	malt
lane122s000519_bin.1.s	malthx
lane122s000519_bin.1.s	mg2
lane122s000519_bin.1.s	mn2
lane122s000519_bin.1.s	o2
lane122s000519_bin.1.s	tre
lane122s000519_bin.1.s	zn2
lane122s000519_bin.2.s	ca2
lane122s000519_bin.2.s	cell6
lane122s000519_bin.2.s	cl
lane122s000519_bin.2.s	cobalt2
lane122s000519_bin.2.s	k
lane122s000519_bin.2.s	mg2
lane122s000519_bin.2.s	mn2
lane122s000519_bin.2.s	o2
lane122s000519_bin.2.s	udcpp
lane122s000519_bin.2.s	zn2
lane122s000519_bin.3.s	ca2
lane122s000519_bin.3.s	cl
lane122s000519_bin.3.s	cobalt2
lane122s000519_bin.3.s	cu2
lane122s000519_bin.3.s	galman6
lane122s000519_bin.3.s	glcman4
lane122s000519_bin.3.s	glcman6
lane122s000519_bin.3.s	k
lane122s000519_bin.3.s	malthx
lane122s000519_bin.3.s	malttr
lane122s000519_bin.3.s	maltttr
lane122s000519_bin.3.s	mg2
lane122s000519_bin.3.s	mn2
lane122s000519_bin.3.s	o2
lane122s000519_bin.3.s	zn2
lane122s000520_bin.1.p	ca2
lane122s000520_bin.1.p	cl
lane122s000520_bin.1.p	cobalt2
lane122s000520_bin.1.p	fru
lane122s000520_bin.1.p	gal_bD
lane122s000520_bin.1.p	gal
lane122s000520_bin.1.p	k
lane122s000520_bin.1.p	mg2
lane122s000520_bin.1.p	mn2
lane122s000520_bin.1.p	no3
lane122s000520_bin.1.p	o2
lane122s000520_bin.1.p	zn2
lane122s000521_bin.1.s	ca2
lane122s000521_bin.1.s	cl
lane122s000521_bin.1.s	cobalt2
lane122s000521_bin.1.s	k
lane122s000521_bin.1.s	mg2
lane122s000521_bin.1.s	mn2
lane122s000521_bin.1.s	no3
lane122s000521_bin.1.s	o2
lane122s000521_bin.1.s	zn2
lane122s000521_bin.2.p	14glucan
lane122s000521_bin.2.p	ca2
lane122s000521_bin.2.p	cl
lane122s000521_bin.2.p	cobalt2
lane122s000521_bin.2.p	glcman6
lane122s000521_bin.2.p	glucan6
lane122s000521_bin.2.p	k
lane122s000521_bin.2.p	lys__L
lane122s000521_bin.2.p	malthx
lane122s000521_bin.2.p	mg2
lane122s000521_bin.2.p	mn2
lane122s000521_bin.2.p	o2
lane122s000521_bin.2.p	thm
lane122s000521_bin.2.p	zn2
lane122s000522_shovill	14glucan
lane122s000522_shovill	ca2
lane122s000522_shovill	cell6
