model	metabolite
lane121s003962_megahit	rib__D
lane121s003962_megahit	sucr
lane121s003962_megahit	tre6p
lane121s003962_megahit	tre
lane121s003962_megahit	zn2
lane121s003963_shovill	akg
lane121s003963_shovill	ca2
lane121s003963_shovill	cl
lane121s003963_shovill	cobalt2
lane121s003963_shovill	cu2
lane121s003963_shovill	fe2
lane121s003963_shovill	galct__D
lane121s003963_shovill	gln__L
lane121s003963_shovill	glu__L
lane121s003963_shovill	h
lane121s003963_shovill	k
lane121s003963_shovill	mg2
lane121s003963_shovill	mn2
lane121s003963_shovill	no3
lane121s003963_shovill	o2
lane121s003963_shovill	pro__L
lane121s003963_shovill	s
lane121s003963_shovill	thr__L
lane121s003963_shovill	udcpp
lane121s003963_shovill	zn2
lane121s003964_megahit	14glucan
lane121s003964_megahit	arbt
lane121s003964_megahit	ca2
lane121s003964_megahit	cellb
lane121s003964_megahit	cl
lane121s003964_megahit	cobalt2
lane121s003964_megahit	cu2
lane121s003964_megahit	dextrin
lane121s003964_megahit	fe2
lane121s003964_megahit	fru
lane121s003964_megahit	gal_bD
lane121s003964_megahit	glc__D
lane121s003964_megahit	k
lane121s003964_megahit	malt
lane121s003964_megahit	man
lane121s003964_megahit	melib
lane121s003964_megahit	mg2
lane121s003964_megahit	mn2
lane121s003964_megahit	salcn
lane121s003964_megahit	sucr
lane121s003964_megahit	tre
lane121s003964_megahit	zn2
lane121s003965_shovill	14glucan
lane121s003965_shovill	ca2
lane121s003965_shovill	cellb
lane121s003965_shovill	cl
lane121s003965_shovill	cobalt2
lane121s003965_shovill	fe2
lane121s003965_shovill	galman4
lane121s003965_shovill	galman6
lane121s003965_shovill	glcman4
lane121s003965_shovill	glcman6
lane121s003965_shovill	glucan4
lane121s003965_shovill	glucan6
lane121s003965_shovill	k
lane121s003965_shovill	malt
lane121s003965_shovill	melib
lane121s003965_shovill	mg2
lane121s003965_shovill	mn2
lane121s003965_shovill	o2
lane121s003965_shovill	tre
lane121s003965_shovill	xylan4
lane121s003965_shovill	zn2
lane121s003968_megahit	14glucan
lane121s003968_megahit	ca2
lane121s003968_megahit	cell6
lane121s003968_megahit	cellb
lane121s003968_megahit	cl
lane121s003968_megahit	cobalt2
lane121s003968_megahit	dextrin
lane121s003968_megahit	fru
lane121s003968_megahit	glc__D
lane121s003968_megahit	k
lane121s003968_megahit	malt
lane121s003968_megahit	man
lane121s003968_megahit	mg2
lane121s003968_megahit	mn2
lane121s003968_megahit	mnl
lane121s003968_megahit	o2
lane121s003968_megahit	raffin
lane121s003968_megahit	sucr
lane121s003968_megahit	tre
lane121s003968_megahit	zn2
lane121s003971_bin.1.s	14glucan
lane121s003971_bin.1.s	ca2
lane121s003971_bin.1.s	cellb
lane121s003971_bin.1.s	cl
lane121s003971_bin.1.s	cobalt2
lane121s003971_bin.1.s	dextrin
lane121s003971_bin.1.s	glucan4
lane121s003971_bin.1.s	glucan6
lane121s003971_bin.1.s	k
lane121s003971_bin.1.s	lmn2
lane121s003971_bin.1.s	malt
lane121s003971_bin.1.s	melib
lane121s003971_bin.1.s	mg2
lane121s003971_bin.1.s	mn2
lane121s003971_bin.1.s	o2
lane121s003971_bin.1.s	sucr
lane121s003971_bin.1.s	tre
lane121s003971_bin.1.s	xyl3
lane121s003971_bin.1.s	xylan4
lane121s003971_bin.1.s	zn2
lane121s003972_bin.2.s	14glucan
lane121s003972_bin.2.s	ca2
lane121s003972_bin.2.s	cl
lane121s003972_bin.2.s	cobalt2
lane121s003972_bin.2.s	k
lane121s003972_bin.2.s	malthx
lane121s003972_bin.2.s	maltpt
lane121s003972_bin.2.s	malttr
lane121s003972_bin.2.s	maltttr
lane121s003972_bin.2.s	mg2
lane121s003972_bin.2.s	mn2
lane121s003972_bin.2.s	raffin
lane121s003972_bin.2.s	udcpp
lane121s003972_bin.2.s	zn2
lane121s003972_shovill	arbt
lane121s003972_shovill	ca2
lane121s003972_shovill	cell6
lane121s003972_shovill	cellb
lane121s003972_shovill	cl
lane121s003972_shovill	cobalt2
lane121s003972_shovill	dextrin
lane121s003972_shovill	gam
lane121s003972_shovill	k
lane121s003972_shovill	malt
lane121s003972_shovill	malthp
lane121s003972_shovill	mg2
lane121s003972_shovill	mn2
lane121s003972_shovill	no3
lane121s003972_shovill	o2
lane121s003972_shovill	raffin
lane121s003972_shovill	salcn
lane121s003972_shovill	starch
lane121s003972_shovill	sucr
lane121s003972_shovill	tre
lane121s003972_shovill	zn2
lane121s003976_shovill	14glucan
lane121s003976_shovill	ca2
lane121s003976_shovill	cellb
lane121s003976_shovill	cl
lane121s003976_shovill	cobalt2
lane121s003976_shovill	dextrin
lane121s003976_shovill	k
lane121s003976_shovill	malt
lane121s003976_shovill	malthx
lane121s003976_shovill	malttr
lane121s003976_shovill	maltttr
lane121s003976_shovill	mg2
lane121s003976_shovill	mn2
lane121s003976_shovill	o2
lane121s003976_shovill	raffin
lane121s003976_shovill	sucr
lane121s003976_shovill	tre
lane121s003976_shovill	zn2
lane121s003977_shovill	14glucan
lane121s003977_shovill	ca2
lane121s003977_shovill	cellb
lane121s003977_shovill	cl
lane121s003977_shovill	cobalt2
lane121s003977_shovill	dextrin
lane121s003977_shovill	k
lane121s003977_shovill	malt
lane121s003977_shovill	malthx
lane121s003977_shovill	malttr
lane121s003977_shovill	maltttr
lane121s003977_shovill	mg2
lane121s003977_shovill	mn2
lane121s003977_shovill	o2
lane121s003977_shovill	raffin
lane121s003977_shovill	sucr
lane121s003977_shovill	tre
lane121s003977_shovill	zn2
lane121s003978_shovill	14glucan
lane121s003978_shovill	ca2
lane121s003978_shovill	cellb
lane121s003978_shovill	cl
lane121s003978_shovill	cobalt2
lane121s003978_shovill	dextrin
lane121s003978_shovill	fe2
lane121s003978_shovill	fru
lane121s003978_shovill	gam
lane121s003978_shovill	glc__D
lane121s003978_shovill	glucan4
lane121s003978_shovill	glucan6
lane121s003978_shovill	k
lane121s003978_shovill	lmn2
lane121s003978_shovill	malt
lane121s003978_shovill	mg2
lane121s003978_shovill	mn2
lane121s003978_shovill	mnl
lane121s003978_shovill	sucr
lane121s003978_shovill	tgt
lane121s003978_shovill	tre
lane121s003978_shovill	xyl3
lane121s003978_shovill	xylan4
lane121s003978_shovill	zn2
lane121s003979_bin.1.s	14glucan
lane121s003979_bin.1.s	ca2
lane121s003979_bin.1.s	cellb
lane121s003979_bin.1.s	cl
lane121s003979_bin.1.s	cobalt2
lane121s003979_bin.1.s	dextrin
lane121s003979_bin.1.s	glucan4
lane121s003979_bin.1.s	glucan6
lane121s003979_bin.1.s	k
lane121s003979_bin.1.s	lmn2
lane121s003979_bin.1.s	malt
lane121s003979_bin.1.s	mg2
lane121s003979_bin.1.s	mn2
lane121s003979_bin.1.s	o2
lane121s003979_bin.1.s	sucr
lane121s003979_bin.1.s	tre
lane121s003979_bin.1.s	xyl3
lane121s003979_bin.1.s	xylan4
lane121s003979_bin.1.s	zn2
lane121s003980_megahit	14glucan
lane121s003980_megahit	ca2
lane121s003980_megahit	cell6
lane121s003980_megahit	cellb
lane121s003980_megahit	cl
lane121s003980_megahit	cobalt2
lane121s003980_megahit	dextrin
lane121s003980_megahit	glucan4
lane121s003980_megahit	glucan6
lane121s003980_megahit	k
lane121s003980_megahit	lmn2
lane121s003980_megahit	malt
lane121s003980_megahit	mg2
lane121s003980_megahit	mn2
lane121s003980_megahit	sucr
lane121s003980_megahit	tre
lane121s003980_megahit	xyl3
lane121s003980_megahit	xylan4
lane121s003980_megahit	zn2
lane121s003984_bin.1.p	3amp
lane121s003984_bin.1.p	arg__L
lane121s003984_bin.1.p	ca2
