model	metabolite
lane122s000515_shovill	zn2
lane122s000516_shovill	ca2
lane122s000516_shovill	cl
lane122s000516_shovill	cobalt2
lane122s000516_shovill	fe2
lane122s000516_shovill	k
lane122s000516_shovill	mg2
lane122s000516_shovill	mn2
lane122s000516_shovill	o2
lane122s000516_shovill	zn2
lane122s000517_bin.1.p	ca2
lane122s000517_bin.1.p	cl
lane122s000517_bin.1.p	cobalt2
lane122s000517_bin.1.p	fe2
lane122s000517_bin.1.p	k
lane122s000517_bin.1.p	mg2
lane122s000517_bin.1.p	mn2
lane122s000517_bin.1.p	o2
lane122s000517_bin.1.p	zn2
lane122s000517_bin.2.s	ca2
lane122s000517_bin.2.s	cl
lane122s000517_bin.2.s	cobalt2
lane122s000517_bin.2.s	cu2
lane122s000517_bin.2.s	k
lane122s000517_bin.2.s	mg2
lane122s000517_bin.2.s	mn2
lane122s000517_bin.2.s	thr__L
lane122s000517_bin.2.s	zn2
lane122s000518_bin.1.p	ca2
lane122s000518_bin.1.p	cl
lane122s000518_bin.1.p	cobalt2
lane122s000518_bin.1.p	gln__L
lane122s000518_bin.1.p	k
lane122s000518_bin.1.p	mg2
lane122s000518_bin.1.p	mn2
lane122s000518_bin.1.p	so4
lane122s000518_bin.1.p	thm
lane122s000518_bin.1.p	zn2
lane122s000519_bin.1.s	ca2
lane122s000519_bin.1.s	cl
lane122s000519_bin.1.s	cobalt2
lane122s000519_bin.1.s	cu2
lane122s000519_bin.1.s	fe2
lane122s000519_bin.1.s	k
lane122s000519_bin.1.s	mg2
lane122s000519_bin.1.s	mn2
lane122s000519_bin.1.s	o2
lane122s000519_bin.1.s	zn2
lane122s000519_bin.2.s	ca2
lane122s000519_bin.2.s	cl
lane122s000519_bin.2.s	cobalt2
lane122s000519_bin.2.s	k
lane122s000519_bin.2.s	mg2
lane122s000519_bin.2.s	mn2
lane122s000519_bin.2.s	o2
lane122s000519_bin.2.s	zn2
lane122s000519_bin.3.s	ca2
lane122s000519_bin.3.s	cl
lane122s000519_bin.3.s	cobalt2
lane122s000519_bin.3.s	cu2
lane122s000519_bin.3.s	k
lane122s000519_bin.3.s	mg2
lane122s000519_bin.3.s	mn2
lane122s000519_bin.3.s	zn2
lane122s000520_bin.1.p	ca2
lane122s000520_bin.1.p	cl
lane122s000520_bin.1.p	cobalt2
lane122s000520_bin.1.p	k
lane122s000520_bin.1.p	mg2
lane122s000520_bin.1.p	mn2
lane122s000520_bin.1.p	zn2
lane122s000521_bin.1.s	ca2
lane122s000521_bin.1.s	cl
lane122s000521_bin.1.s	cobalt2
lane122s000521_bin.1.s	k
lane122s000521_bin.1.s	mg2
lane122s000521_bin.1.s	mn2
